game_id,date,season,week,league,away,home,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-ipl-2019-04-28-1178422,2019-04-28,2019,1,IPL,Kolkata Knight Riders,Mumbai Indians,24.0,0.0,0.0,29.0,0.0,0.0,,1.0
cricket-ipl-2019-05-03-1178427,2019-05-03,2019,1,IPL,Kings XI Punjab,Kolkata Knight Riders,24.0,0.0,0.0,31.0,2.0,0.0,1.0,1.0
cricket-ipl-2019-05-05-1178431,2019-05-05,2019,1,IPL,Kolkata Knight Riders,Mumbai Indians,24.0,0.0,1.0,25.0,0.0,0.0,,1.0
cricket-ipl-2020-09-23-1216508,2020-09-23,2020,1,IPL,Mumbai Indians,Kolkata Knight Riders,18.0,0.0,0.0,34.0,0.0,3.0,,1.0
cricket-ipl-2021-09-28-1254092,2021-09-28,2021,1,IPL,Delhi Capitals,Kolkata Knight Riders,12.0,0.0,0.0,15.0,0.0,0.0,,1.0
cricket-t20i-2021-07-29-1262760,2021-07-29,2021,1,T20I,India,Sri Lanka,18.0,0.0,0.0,23.0,0.0,1.0,,1.0
cricket-ipl-2024-04-17-1426270,2024-04-17,2024,1,IPL,Gujarat Titans,Delhi Capitals,18.0,0.0,0.0,40.0,2.0,0.0,,1.0
cricket-ipl-2024-04-21-1426275,2024-04-21,2024,1,IPL,Punjab Kings,Gujarat Titans,6.0,0.0,1.0,21.0,0.0,0.0,,1.0
cricket-ipl-2024-04-24-1426278,2024-04-24,2024,1,IPL,Delhi Capitals,Gujarat Titans,18.0,0.0,0.0,15.0,3.0,1.0,,1.0
cricket-ipl-2024-04-28-1426283,2024-04-28,2024,1,IPL,Gujarat Titans,Royal Challengers Bengaluru,6.0,0.0,0.0,15.0,0.0,2.0,,1.0
cricket-ipl-2024-05-10-1426297,2024-05-10,2024,1,IPL,Gujarat Titans,Chennai Super Kings,18.0,0.0,0.0,28.0,1.0,0.0,,1.0
