game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,,3.0,6.0,1.0,29.0,64.0,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,2.0,,,,16.0,1.0,16.0,1.0,-6.0,,-6.0,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,8.0,1.0,4.0,,,8.0,13.0,1.0,13.0,1.0,,1.0,2.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,1.0,1.0,1.0,,15.0,,,,1.0,,1.0,1.0,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,14.0,2.0,3.0,,10.0,15.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,,5.0,5.0,2.0,20.0,93.0,,,,,,,,2.0,12.0,,2.0
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,17.0,3.0,3.0,,7.0,22.0,,,,,,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,1.0,1.0,,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,11.0,3.0,4.0,,14.0,24.0,21.0,2.0,37.0,,,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,16.0,1.0,1.0,,1.0,16.0,12.0,1.0,12.0,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,3.0,1.0,3.0,,1.0,3.0,,,,1.0,,1.0,1.0,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,19.0,4.0,5.0,,31.0,48.0,,,,1.0,6.0,,6.0,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,,2.0,2.0,1.0,5.0,25.0,,,,1.0,4.0,,4.0,1.0,6.0,,1.0
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,17.0,3.0,5.0,,21.0,32.0,,,,,,,,,,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,11.0,2.0,3.0,,18.0,19.0,46.0,3.0,82.0,1.0,9.0,,9.0,,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,12.0,3.0,7.0,,6.0,33.0,,,,,,,,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,1.0,,,,16.0,1.0,16.0,,,,,,,,
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,17.0,3.0,5.0,,10.0,32.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,1.0,1.0,1.0,,10.0,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,,,,,,24.0,3.0,70.0,,,,,,,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,7.0,2.0,4.0,,,12.0,,,,2.0,6.0,,9.0,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,,2.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,6.0,1.0,3.0,,,6.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,,,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,25.0,1.0,1.0,,9.0,25.0,,,,1.0,,1.0,1.0,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,15.0,2.0,3.0,,9.0,17.0,,,,2.0,2.0,,3.0,,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,,,5.0,1.0,1.0,,2.0,5.0,,,,,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,,,,,,,25.0,4.0,89.0,,,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,5.0,1.0,1.0,,,5.0,16.0,1.0,16.0,,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,,,,,,17.0,1.0,17.0,,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,32.0,1.0,1.0,,10.0,32.0,19.0,1.0,19.0,,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,-1.0,1.0,1.0,,-1.0,-1.0,,1.0,,,,,,,,,
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_CGY@EDM,2018-09-08,2018,1,CFL,CGY,EDM,,,12.0,1.0,1.0,,8.0,12.0,,,,,,,,,,,
