game_id,date,season,week,league,away,home,def_solo,def_tot,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_fr,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,1.0,1.0,,,,,,,,,,,,,,3.0,9.0,,14.0,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,,,1.0,1.0,1.0,,9.0,,,,2.0,8.0,,14.0,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,,,10.0,2.0,3.0,,3.0,15.0,,,,1.0,1.0,,1.0,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,19.0,4.0,4.0,,26.0,54.0,,,,6.0,21.0,1.0,41.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_16_HAM@CGY,2018-06-16,2018,1,CFL,HAM,CGY,,,,,,,,,,,,,33.0,2.0,57.0,2.0,7.0,,8.0,,,,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,,,,,,,,,,,,,,11.0,23.0,,92.0,,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,,,,,11.0,1.0,1.0,,11.0,11.0,38.0,1.0,38.0,,,,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,,,,,9.0,1.0,1.0,,4.0,9.0,,,,1.0,-4.0,,-4.0,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,,,,,,,,,,,40.0,5.0,112.0,,,,,,,,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,,,,,,,,,,,24.0,3.0,51.0,1.0,7.0,,7.0,,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,1.0,,,,,,,,,,,,,4.0,24.0,,40.0,,,1.0,,6.0,,1.0
FOOTBALL_CFL_2018_9_15_CGY@HAM,2018-09-15,2018,1,CFL,CGY,HAM,1.0,1.0,,,,,19.0,1.0,1.0,,14.0,19.0,,,,3.0,12.0,,16.0,,,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,,,,,,,,,,26.0,4.0,81.0,1.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,,,,0.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,,,,0.0,30.0,5.0,,,,,,,,,,,,,,0.0,29.0,,,,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,8.0,,,,,
SYNTHETIC_CFL_2022_W6_HAM,2022-07-16,2022,6,CFL,OTT,HAM,,,,0.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_HAM,2022-07-21,2022,7,CFL,HAM,BC,,,,0.0,19.0,1.0,,,,,,,,,,,,,,0.0,9.0,,,,,
SYNTHETIC_CFL_2022_W8_HAM,2022-07-28,2022,8,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,,0.0,16.0,,,,,
SYNTHETIC_CFL_2022_W9_HAM,2022-08-06,2022,9,CFL,HAM,TOR,,,,0.0,13.0,2.0,,,,,,,,,,,,,,0.0,18.0,,,,,
SYNTHETIC_CFL_2022_W10_HAM,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,,1.0,28.0,,,,,
SYNTHETIC_CFL_2022_W11_HAM,2022-08-20,2022,11,CFL,HAM,MTL,,,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,12.0,,,,,
SYNTHETIC_CFL_2022_W15_HAM,2022-09-17,2022,15,CFL,WPG,HAM,,,,0.0,7.0,1.0,,,,,,,,,,,,,,0.0,19.0,,,,,
SYNTHETIC_CFL_2022_W16_HAM,2022-09-23,2022,16,CFL,HAM,MTL,,,,,,,,,,,,,,,,,,,,0.0,19.0,,,,,
