game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2023-09-19-1392811,2023-09-19,2023,1,T20I,Bahrain,Oman,7.0,0.0,0.0,9.0,5.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-09-22-1397438,2023-09-22,2023,1,T20I,Oman,Kuwait,,,,,,,24.0,0.0,0.0,13.0,2.0,0.0,,,1.0
cricket-t20i-2023-09-23-1397439,2023-09-23,2023,1,T20I,United Arab Emirates,Oman,,,,,,,24.0,0.0,1.0,28.0,0.0,0.0,,,1.0
cricket-t20i-2023-10-30-1405315,2023-10-30,2023,1,T20I,Oman,Malaysia,,,,,,,24.0,0.0,0.0,21.0,1.0,0.0,,,1.0
cricket-t20i-2023-10-31-1405317,2023-10-31,2023,1,T20I,Oman,Singapore,,,,,,,24.0,0.0,0.0,21.0,1.0,1.0,,,1.0
cricket-t20i-2023-11-02-1405321,2023-11-02,2023,1,T20I,Oman,Nepal,17.0,2.0,1.0,9.0,22.0,1.0,18.0,0.0,0.0,15.0,2.0,0.0,,,1.0
cricket-t20i-2023-11-03-1405325,2023-11-03,2023,1,T20I,Bahrain,Oman,,,,,,,24.0,0.0,0.0,24.0,2.0,1.0,,,1.0
cricket-t20i-2023-11-05-1405327,2023-11-05,2023,1,T20I,Nepal,Oman,1.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,1.0,,1.0
cricket-odi-2024-09-18-1450697,2024-09-18,2024,1,ODI,Nepal,Oman,24.0,3.0,1.0,9.0,17.0,0.0,60.0,1.0,0.0,29.0,1.0,1.0,,,1.0
cricket-odi-2024-09-20-1450698,2024-09-20,2024,1,ODI,Canada,Oman,42.0,0.0,1.0,10.0,21.0,0.0,60.0,3.0,0.0,45.0,2.0,0.0,,,1.0
cricket-odi-2024-09-26-1450701,2024-09-26,2024,1,ODI,Oman,Canada,25.0,1.0,1.0,10.0,29.0,2.0,42.0,1.0,1.0,26.0,1.0,0.0,,,1.0
cricket-odi-2024-11-01-1457464,2024-11-01,2024,1,ODI,United Arab Emirates,Oman,,,,,,,54.0,0.0,0.0,22.0,2.0,1.0,1.0,,1.0
cricket-odi-2024-11-05-1457466,2024-11-05,2024,1,ODI,Netherlands,Oman,,,,,,,60.0,2.0,0.0,26.0,4.0,0.0,,,1.0
cricket-odi-2024-11-07-1457467,2024-11-07,2024,1,ODI,United Arab Emirates,Oman,1.0,0.0,0.0,7.0,0.0,0.0,60.0,3.0,1.0,23.0,5.0,1.0,,,1.0
cricket-odi-2024-11-11-1457469,2024-11-11,2024,1,ODI,Oman,Netherlands,36.0,0.0,0.0,8.0,2.0,0.0,60.0,5.0,0.0,15.0,2.0,1.0,,,1.0
cricket-t20i-2024-03-06-1423372,2024-03-06,2024,1,T20I,Papua New Guinea,Oman,2.0,0.0,1.0,9.0,1.0,0.0,24.0,0.0,0.0,15.0,0.0,0.0,,,1.0
