game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2018-11-12-1150539,2018-11-12,2018,1,T20I,Bangladesh,England,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2018-11-16-1150547,2018-11-16,2018,1,T20I,South Africa,England,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2018-11-18-1150551,2018-11-18,2018,1,T20I,England,West Indies,30.0,3.0,0.0,7.0,35.0,1.0,,,,,,,,,1.0
cricket-t20i-2018-11-24-1150555,2018-11-24,2018,1,T20I,England,Australia,1.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2019-03-04-1172163,2019-03-04,2019,1,T20I,India,England,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2019-03-09-1172165,2019-03-09,2019,1,T20I,India,England,18.0,0.0,1.0,7.0,14.0,0.0,,,,,,,,,1.0
cricket-t20i-2019-03-24-1176435,2019-03-24,2019,1,T20I,Sri Lanka,England,,,,,,,12.0,0.0,0.0,7.0,0.0,0.0,,,1.0
cricket-t20i-2019-03-26-1176436,2019-03-26,2019,1,T20I,Sri Lanka,England,,,,,,,12.0,0.0,0.0,6.0,1.0,0.0,,,1.0
cricket-t20i-2019-03-28-1176437,2019-03-28,2019,1,T20I,Sri Lanka,England,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2020-09-28-1230858,2020-09-28,2020,1,T20I,England,West Indies,1.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2020-09-30-1230859,2020-09-30,2020,1,T20I,West Indies,England,4.0,0.0,1.0,7.0,3.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-07-24-1252702,2021-07-24,2021,1,HND,Southern Brave,Trent Rockets,7.0,1.0,0.0,3.0,6.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-07-27-1252707,2021-07-27,2021,1,HND,Welsh Fire,Southern Brave,16.0,2.0,0.0,3.0,16.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-07-30-1252710,2021-07-30,2021,1,HND,Birmingham Phoenix,Southern Brave,23.0,7.0,0.0,3.0,41.0,0.0,,,,,,,,1.0,1.0
cricket-hnd-2021-08-01-1252714,2021-08-01,2021,1,HND,London Spirit,Southern Brave,19.0,3.0,0.0,3.0,22.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-08-05-1252718,2021-08-05,2021,1,HND,Southern Brave,Manchester Originals,25.0,2.0,0.0,3.0,28.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-08-07-1252720,2021-08-07,2021,1,HND,Northern Superchargers,Southern Brave,28.0,5.0,1.0,3.0,50.0,2.0,,,,,,,,,1.0
cricket-hnd-2021-08-11-1252724,2021-08-11,2021,1,HND,Southern Brave,Welsh Fire,13.0,3.0,1.0,3.0,23.0,0.0,,,,,,,,,1.0
cricket-hnd-2021-08-16-1252729,2021-08-16,2021,1,HND,Southern Brave,Oval Invincibles,39.0,7.0,1.0,3.0,58.0,1.0,,,,,,,1.0,,1.0
cricket-hnd-2021-08-21-1252733,2021-08-21,2021,1,HND,Oval Invincibles,Southern Brave,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,1.0
cricket-odi-2021-06-30-1260095,2021-06-30,2021,1,ODI,India,England,81.0,5.0,1.0,6.0,73.0,1.0,,,,,,,1.0,1.0,1.0
cricket-odi-2021-07-03-1260096,2021-07-03,2021,1,ODI,England,India,35.0,1.0,0.0,6.0,28.0,0.0,,,,,,,,,1.0
cricket-odi-2021-09-16-1260103,2021-09-16,2021,1,ODI,England,New Zealand,9.0,1.0,0.0,6.0,5.0,0.0,,,,,,,,,1.0
cricket-odi-2021-09-19-1260104,2021-09-19,2021,1,ODI,England,New Zealand,27.0,1.0,0.0,6.0,11.0,0.0,,,,,,,,,1.0
cricket-odi-2021-09-21-1260105,2021-09-21,2021,1,ODI,England,New Zealand,16.0,1.0,0.0,5.0,6.0,0.0,,,,,,,,,1.0
cricket-odi-2021-09-23-1260106,2021-09-23,2021,1,ODI,New Zealand,England,5.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,1.0
cricket-odi-2021-09-26-1260107,2021-09-26,2021,1,ODI,England,New Zealand,25.0,5.0,1.0,6.0,33.0,0.0,,,,,,,,,1.0
cricket-t20i-2021-03-03-1249235,2021-03-03,2021,1,T20I,New Zealand,England,,,,,,,,,,,,,2.0,,1.0
cricket-t20i-2021-03-05-1249236,2021-03-05,2021,1,T20I,New Zealand,England,,,,,,,,,,,,,1.0,,1.0
