game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,interceptions_made
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,1.0,1.0,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,2.0,2.0,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,3.0,3.0,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,2.0,2.0,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,2.0,2.0,,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,4.0,4.0,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,3.0,3.0,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,3.0,3.0,,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,1.0,1.0,1.0,3.0,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,2.0,2.0,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,2.0,2.0,,
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,,1.0,1.0,,
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,1.0,1.0,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,1.0,2.0,2.0,13.0,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,2.0,2.0,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,1.0,1.0,,
SYNTHETIC_CFL_2024_W7_BC,2024-07-21,2024,7,CFL,BC,CGY,,,,,1.0
