game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150WAS,2021-05-15,2021,1,WNBA,CHI,WAS,,,,1.0,,,1.0,,,,,,3.8833333333333333,,3.0,,,,
WNBA_202105180WAS,2021-05-18,2021,1,WNBA,PHO,WAS,1.0,,0.5,2.0,1.0,0.5,2.0,1.0,2.0,1.0,5.0,5.0,18.933333333333334,1.0,-17.0,8.0,1.0,1.0,2.0
WNBA_202105210WAS,2021-05-21,2021,1,WNBA,NYL,WAS,,2.0,0.4,5.0,2.0,0.333,6.0,2.0,,,,,15.05,,14.0,6.0,2.0,,
WNBA_202105230IND,2021-05-23,2021,1,WNBA,WAS,IND,3.0,3.0,0.333,3.0,1.0,0.4,5.0,2.0,,,,,26.616666666666667,,-10.0,5.0,3.0,1.0,
WNBA_202105250IND,2021-05-25,2021,1,WNBA,WAS,IND,4.0,,0.5,4.0,2.0,0.5,4.0,2.0,,,,,34.166666666666664,,13.0,6.0,,,1.0
WNBA_202105280CON,2021-05-28,2021,1,WNBA,WAS,CON,1.0,2.0,0.667,6.0,4.0,0.667,6.0,4.0,2.0,,,,24.066666666666666,,-6.0,12.0,2.0,,
WNBA_202106170WAS,2021-06-17,2021,1,WNBA,ATL,WAS,2.0,3.0,0.167,6.0,1.0,0.222,9.0,2.0,,0.667,3.0,2.0,32.833333333333336,,-4.0,7.0,3.0,1.0,3.0
WNBA_202106190WAS,2021-06-19,2021,1,WNBA,IND,WAS,1.0,1.0,0.2,5.0,1.0,0.167,6.0,1.0,1.0,,,,33.61666666666667,,-4.0,3.0,1.0,,
WNBA_202106220SEA,2021-06-22,2021,1,WNBA,WAS,SEA,3.0,2.0,0.2,5.0,1.0,0.333,6.0,2.0,3.0,,,,34.03333333333333,1.0,-2.0,5.0,3.0,,
WNBA_202106240LAS,2021-06-24,2021,1,WNBA,WAS,LAS,2.0,2.0,,2.0,,,2.0,,3.0,,,,29.633333333333333,,-1.0,,2.0,,2.0
WNBA_202106260DAL,2021-06-26,2021,1,WNBA,WAS,DAL,6.0,3.0,,5.0,,0.167,6.0,1.0,,,,,22.483333333333334,,-25.0,2.0,3.0,,1.0
WNBA_202106290WAS,2021-06-29,2021,1,WNBA,CON,WAS,3.0,,0.333,3.0,1.0,0.333,3.0,1.0,1.0,,,,37.63333333333333,,-22.0,3.0,,2.0,
WNBA_202107030NYL,2021-07-03,2021,1,WNBA,WAS,NYL,1.0,1.0,0.5,2.0,1.0,0.5,6.0,3.0,1.0,1.0,2.0,2.0,25.6,,,9.0,1.0,,
WNBA_202107100CHI,2021-07-10,2021,1,WNBA,WAS,CHI,,1.0,0.333,3.0,1.0,0.375,8.0,3.0,,,,,19.833333333333332,,,7.0,1.0,,4.0
WNBA_202108150LVA,2021-08-15,2021,1,WNBA,WAS,LVA,1.0,,,1.0,,0.333,3.0,1.0,1.0,,,,17.916666666666668,,-3.0,2.0,,,
WNBA_202108170LVA,2021-08-17,2021,1,WNBA,WAS,LVA,,1.0,,3.0,,0.167,6.0,1.0,1.0,,,,18.7,,,2.0,1.0,1.0,2.0
WNBA_202108190PHO,2021-08-19,2021,1,WNBA,WAS,PHO,1.0,1.0,0.5,4.0,2.0,0.375,8.0,3.0,,,,,19.983333333333334,,-16.0,8.0,1.0,3.0,
WNBA_202108220WAS,2021-08-22,2021,1,WNBA,SEA,WAS,2.0,3.0,0.5,2.0,1.0,0.5,6.0,3.0,1.0,,,,21.533333333333335,1.0,-16.0,7.0,4.0,,1.0
WNBA_202108240WAS,2021-08-24,2021,1,WNBA,LAS,WAS,,1.0,,,,0.5,2.0,1.0,1.0,,,,15.4,,-8.0,2.0,1.0,,3.0
WNBA_202108260WAS,2021-08-26,2021,1,WNBA,DAL,WAS,1.0,2.0,0.25,4.0,1.0,0.5,8.0,4.0,,,,,19.816666666666666,1.0,-2.0,9.0,3.0,1.0,1.0
WNBA_202108280WAS,2021-08-28,2021,1,WNBA,DAL,WAS,4.0,,,3.0,,,6.0,,,0.25,4.0,1.0,26.55,,13.0,1.0,,,2.0
WNBA_202108310WAS,2021-08-31,2021,1,WNBA,CON,WAS,,1.0,0.5,2.0,1.0,0.4,5.0,2.0,,1.0,2.0,2.0,16.683333333333334,,-1.0,7.0,1.0,,1.0
WNBA_202109040MIN,2021-09-04,2021,1,WNBA,WAS,MIN,1.0,,,2.0,,,3.0,,1.0,,,,13.8,,-17.0,,,,1.0
WNBA_202109070SEA,2021-09-07,2021,1,WNBA,WAS,SEA,4.0,1.0,,1.0,,,2.0,,1.0,1.0,2.0,2.0,18.683333333333334,1.0,-8.0,2.0,2.0,,1.0
WNBA_202109100WAS,2021-09-10,2021,1,WNBA,ATL,WAS,1.0,,0.5,4.0,2.0,0.333,6.0,2.0,,,,,18.283333333333335,,10.0,6.0,,,2.0
WNBA_202109120CHI,2021-09-12,2021,1,WNBA,WAS,CHI,1.0,1.0,,1.0,,,2.0,,1.0,,,,11.75,,16.0,,1.0,,
WNBA_202109190WAS,2021-09-19,2021,1,WNBA,MIN,WAS,,,,,,,,,,,,,1.0166666666666666,,-6.0,,,,
