game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_RADICALS,,,1,AUDL,,,0.0,0.0,,,0.0,2.0,,,,1.0,78.0,-1.0
SYNTHETIC_AUDL_W2_RADICALS,,,2,AUDL,,,1.0,1.0,,,0.0,0.0,,,,1.0,160.0,28.0
SYNTHETIC_AUDL_W3_RADICALS,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-18-ATX-MAD,2022-06-18,2022,4,,ATX,MAD,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-25-MAD-MIN,2022-06-25,2022,5,,MAD,MIN,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-07-10-MIN-MAD,2022-07-10,2022,7,,MIN,MAD,1.0,0.0,,,0.0,1.0,,,,0.0,154.0,-3.0
2022-07-15-IND-MAD,2022-07-15,2022,8,,IND,MAD,1.0,1.0,,,0.0,2.0,,,,0.0,182.0,72.0
2022-07-16-MAD-DET,2022-07-16,2022,8,,MAD,DET,1.0,1.0,,,0.0,1.0,,,,1.0,192.0,33.0
2022-07-29-CHI-MAD,2022-07-29,2022,10,,CHI,MAD,1.0,1.0,,,0.0,2.0,,,,3.0,210.0,119.0
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,,,16.0,16.0,,,1.0,1.0,18.0,2.0,78.0,132.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,,,17.0,17.0,,,5.0,,17.0,,151.0,85.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,,CHI,MAD,,,9.0,8.0,1.0,,1.0,,9.0,,33.0,15.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,1.0,,15.0,15.0,,1.0,1.0,,15.0,,72.0,50.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,,23.0,22.0,,1.0,2.0,,22.0,,205.0,78.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,,,9.0,11.0,,,1.0,1.0,11.0,,96.0,75.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,1.0,,21.0,21.0,,,1.0,,21.0,,101.0,27.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0
