game_id,date,season,week,league,away,home,conversions,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_HAM,,,1,CFL,,,,,,,,0.0,7.0,2.0,0.0,11.0,,
SYNTHETIC_CFL_W3_HAM,,,3,CFL,,,,,,,,0.0,78.0,6.0,,,,
SYNTHETIC_CFL_W4_HAM,,,4,CFL,,,,,,,,0.0,81.0,5.0,,,,
SYNTHETIC_CFL_W6_HAM,2022-07-16,,6,CFL,OTT,HAM,,,,,,1.0,70.0,6.0,,,,
SYNTHETIC_CFL_W7_HAM,2022-07-21,,7,CFL,HAM,BC,,,,,,0.0,44.0,4.0,0.0,21.0,,
SYNTHETIC_CFL_W8_HAM,2022-07-28,,8,CFL,MTL,HAM,,,,,,0.0,15.0,2.0,,,,
SYNTHETIC_CFL_W9_HAM,2022-08-06,,9,CFL,HAM,TOR,,,,,,0.0,6.0,1.0,,,,
SYNTHETIC_CFL_W10_HAM,2022-08-12,,10,CFL,TOR,HAM,,,,,,1.0,77.0,4.0,0.0,5.0,,
SYNTHETIC_CFL_W11_HAM,2022-08-20,,11,CFL,HAM,MTL,,,,,,2.0,145.0,11.0,0.0,12.0,,
SYNTHETIC_CFL_W15_HAM,2022-09-17,,15,CFL,WPG,HAM,,,,,,2.0,63.0,6.0,0.0,1.0,,
SYNTHETIC_CFL_W16_HAM,2022-09-23,,16,CFL,HAM,MTL,,,,,,0.0,105.0,6.0,,,,
SYNTHETIC_CFL_W18_HAM,2022-10-07,,18,CFL,SSK,HAM,,,,,,0.0,63.0,3.0,,,,
SYNTHETIC_CFL_W19_HAM,2022-10-14,,19,CFL,HAM,CGY,,,,,,1.0,106.0,6.0,,,,
SYNTHETIC_CFL_W20_HAM,2022-10-21,,20,CFL,OTT,HAM,,,,,,0.0,113.0,7.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W1_HAM,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,1.0,71.0,4.0,,,,
SYNTHETIC_CFL_2023_W2_HAM,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,44.0,5.0,,,,
SYNTHETIC_CFL_2023_W3_HAM,2023-06-23,2023,3,CFL,MTL,HAM,,,,,,0.0,143.0,7.0,,,,
