game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_TOR,,,1,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W2_TOR,,,2,CFL,,,1.0,,1.0,253.0,,
SYNTHETIC_CFL_W3_TOR,,,3,CFL,,,2.0,,1.0,264.0,,
SYNTHETIC_CFL_W4_TOR,,,4,CFL,,,0.0,,1.0,249.0,,
SYNTHETIC_CFL_W5_TOR,,,5,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W6_TOR,,,6,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W7_TOR,,,7,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W8_TOR,,,8,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W9_TOR,,,9,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,1.0,,4.0,432.0,,
SYNTHETIC_CFL_W11_TOR,,,11,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W12_TOR,,,12,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W13_TOR,,,13,CFL,,,2.0,,2.0,201.0,,
SYNTHETIC_CFL_W14_TOR,,,14,CFL,,,0.0,,0.0,278.0,,
SYNTHETIC_CFL_W15_TOR,,,15,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_W16_TOR,,,16,CFL,,,2.0,,2.0,242.0,,
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,0.0,,1.0,231.0,,
SYNTHETIC_CFL_W18_TOR,,,18,CFL,,,0.0,,0.0,178.0,,
SYNTHETIC_CFL_W19_TOR,,,19,CFL,,,0.0,,1.0,310.0,,
SYNTHETIC_CFL_W20_TOR,,,20,CFL,,,1.0,,1.0,388.0,,
SYNTHETIC_CFL_W21_TOR,,,21,CFL,,,0.0,,0.0,0.0,,
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,,,1.0,249.0,,34.0
SYNTHETIC_CFL_2023_W6_TOR,,2023,6,CFL,,,1.0,,3.0,351.0,1.0,13.0
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,,,2.0,306.0,1.0,18.0
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,1.0,,1.0,122.0,,4.0
SYNTHETIC_CFL_2023_W9_TOR,,2023,9,CFL,,,1.0,,1.0,157.0,,18.0
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,1.0,,4.0,630.0,3.0,45.0
SYNTHETIC_CFL_2023_W12_TOR,,2023,12,CFL,,,2.0,,3.0,361.0,1.0,9.0
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,2.0,,3.0,227.0,1.0,27.0
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,,,,278.0,1.0,6.0
SYNTHETIC_CFL_2023_W15_TOR,,2023,15,CFL,,,,,1.0,275.0,,8.0
