game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2007-06-24-293072,2007-06-24,2007,1,ODI,Ireland,South Africa,,,,,,,35.0,1.0,0.0,12.0,4.0,1.0,,,1.0
cricket-odi-2007-06-26-293076,2007-06-26,2007,1,ODI,India,South Africa,22.0,1.0,1.0,8.0,17.0,0.0,48.0,2.0,0.0,37.0,0.0,0.0,,,1.0
cricket-odi-2007-08-22-300486,2007-08-22,2007,1,ODI,Zimbabwe,South Africa,13.0,3.0,1.0,7.0,17.0,0.0,48.0,2.0,0.0,15.0,2.0,0.0,,,1.0
cricket-odi-2007-08-25-300487,2007-08-25,2007,1,ODI,Zimbabwe,South Africa,,,,,,,18.0,0.0,0.0,18.0,0.0,0.0,1.0,,1.0
cricket-odi-2007-08-26-300488,2007-08-26,2007,1,ODI,Zimbabwe,South Africa,9.0,0.0,0.0,6.0,6.0,0.0,48.0,0.0,0.0,47.0,0.0,0.0,,,1.0
cricket-t20i-2007-09-11-287853,2007-09-11,2007,1,T20I,South Africa,West Indies,,,,,,,24.0,0.0,0.0,35.0,2.0,1.0,,,1.0
cricket-t20i-2007-09-15-287864,2007-09-15,2007,1,T20I,South Africa,Bangladesh,,,,,,,24.0,0.0,0.0,23.0,2.0,0.0,,,1.0
cricket-t20i-2007-09-16-287867,2007-09-16,2007,1,T20I,South Africa,England,7.0,0.0,0.0,8.0,6.0,0.0,12.0,0.0,0.0,22.0,0.0,0.0,1.0,,1.0
cricket-t20i-2007-09-19-287872,2007-09-19,2007,1,T20I,South Africa,New Zealand,,,,,,,6.0,0.0,0.0,10.0,0.0,0.0,,,1.0
cricket-t20i-2007-09-20-287876,2007-09-20,2007,1,T20I,South Africa,India,5.0,0.0,0.0,8.0,2.0,0.0,12.0,0.0,0.0,14.0,0.0,2.0,,1.0,1.0
cricket-t20i-2007-11-23-298795,2007-11-23,2007,1,T20I,South Africa,New Zealand,7.0,0.0,0.0,8.0,2.0,0.0,,,,,,,,,1.0
cricket-t20i-2007-12-16-319112,2007-12-16,2007,1,T20I,South Africa,West Indies,9.0,0.0,0.0,8.0,4.0,0.0,5.0,0.0,0.0,10.0,0.0,1.0,,,1.0
cricket-odi-2008-08-22-296914,2008-08-22,2008,1,ODI,England,South Africa,27.0,2.0,0.0,8.0,23.0,0.0,54.0,0.0,1.0,50.0,0.0,2.0,1.0,,1.0
cricket-odi-2008-08-31-296917,2008-08-31,2008,1,ODI,England,South Africa,12.0,1.0,0.0,7.0,10.0,0.0,24.0,0.0,0.0,30.0,0.0,0.0,,,1.0
cricket-tests-2011-11-09-514029,2011-11-09,2011,1,TESTS,South Africa,Australia,11.0,1.0,0.0,8.0,4.0,0.0,168.0,6.0,3.0,78.0,8.0,1.0,,,1.0
cricket-tests-2011-11-17-514030,2011-11-17,2011,1,TESTS,South Africa,Australia,77.0,3.0,0.0,8.0,23.0,0.0,210.0,7.0,5.0,117.0,6.0,2.0,,,1.0
cricket-tests-2011-12-15-514032,2011-12-15,2011,1,TESTS,South Africa,Sri Lanka,30.0,0.0,0.0,9.0,4.0,0.0,145.0,4.0,8.0,102.0,10.0,2.0,1.0,,1.0
cricket-odi-2012-01-20-514038,2012-01-20,2012,1,ODI,South Africa,Sri Lanka,5.0,0.0,1.0,9.0,2.0,0.0,36.0,0.0,0.0,39.0,1.0,2.0,,,1.0
cricket-tests-2012-01-03-514034,2012-01-03,2012,1,TESTS,South Africa,Sri Lanka,,,,,,,234.0,11.0,0.0,100.0,6.0,0.0,,,1.0
cricket-tests-2012-03-07-520603,2012-03-07,2012,1,TESTS,New Zealand,South Africa,58.0,2.0,0.0,9.0,22.0,0.0,180.0,3.0,2.0,101.0,5.0,0.0,,,1.0
cricket-tests-2012-03-15-520604,2012-03-15,2012,1,TESTS,New Zealand,South Africa,35.0,1.0,0.0,9.0,14.0,1.0,185.0,7.0,2.0,114.0,10.0,0.0,,,1.0
cricket-tests-2012-03-23-520605,2012-03-23,2012,1,TESTS,New Zealand,South Africa,59.0,3.0,0.0,9.0,29.0,0.0,244.0,11.0,1.0,110.0,6.0,1.0,,,1.0
cricket-tests-2012-07-19-534225,2012-07-19,2012,1,TESTS,England,South Africa,,,,,,,276.0,10.0,8.0,108.0,2.0,0.0,1.0,,1.0
cricket-tests-2012-08-02-534226,2012-08-02,2012,1,TESTS,England,South Africa,28.0,4.0,0.0,9.0,19.0,0.0,216.0,11.0,2.0,98.0,3.0,2.0,,,1.0
cricket-tests-2012-08-16-534227,2012-08-16,2012,1,TESTS,England,South Africa,160.0,11.0,0.0,8.0,96.0,0.0,233.0,13.0,0.0,78.0,7.0,0.0,,,1.0
cricket-tests-2012-11-09-573007,2012-11-09,2012,1,TESTS,Australia,South Africa,41.0,0.0,0.0,7.0,12.0,1.0,180.0,3.0,8.0,103.0,0.0,0.0,,,1.0
cricket-tests-2012-11-30-573009,2012-11-30,2012,1,TESTS,Australia,South Africa,71.0,4.0,0.0,9.0,44.0,1.0,222.0,8.0,0.0,96.0,4.0,0.0,,,1.0
