game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_TB,,2022,1,USFL,,,,,0.0,23.0,3.0,,
SYNTHETIC_USFL_2022_W2_TB,,2022,2,USFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W3_TB,,2022,3,USFL,,,,,0.0,24.0,2.0,,
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,,,0.0,21.0,2.0,,
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,,,0.0,18.0,2.0,,
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,,,0.0,68.0,4.0,,
SYNTHETIC_USFL_2022_W8_TB,,2022,8,USFL,,,,,0.0,23.0,1.0,,
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,,,0.0,42.0,3.0,0.0,-5.0
SYNTHETIC_USFL_2022_W10_TB,,2022,10,USFL,,,0.0,,0.0,25.0,2.0,,
SYNTHETIC_USFL_2023_W1_SHOWBOATS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,,,0.0,15.0,2.0,,
SYNTHETIC_USFL_2023_W3_SHOWBOATS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,,0.0,31.0,2.0,,
SYNTHETIC_USFL_2023_W5_SHOWBOATS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,1.0,0.0,62.0,6.0,,
SYNTHETIC_USFL_2023_W6_SHOWBOATS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,1.0,40.0,3.0,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,1.0,36.0,4.0,,
5,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,0.0,12.0,1.0,0.0,-5.0
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,1.0,38.0,3.0,,
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,1.0,21.0,2.0,,
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,0.0,33.0,4.0,,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,0.0,30.0,4.0,,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,1.0,55.0,7.0,,
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,0.0,25.0,5.0,,
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,1.0,26.0,3.0,,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,28.0,3.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,0.0,42.0,5.0,,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,0.0,58.0,3.0,,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,1.0,8.0,2.0,,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,1.0,23.0,3.0,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,36.0,3.0,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,0.0,30.0,4.0,,
