game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2021-06-25-1267306,2021-06-25,2021,1,T20I,Serbia,Greece,11.0,5.0,0.0,2.0,22.0,0.0,18.0,0.0,0.0,27.0,0.0,2.0,,,1.0
cricket-t20i-2021-06-25-1267308,2021-06-25,2021,1,T20I,Romania,Serbia,12.0,4.0,0.0,2.0,22.0,1.0,20.0,0.0,0.0,29.0,3.0,3.0,1.0,,1.0
cricket-t20i-2021-06-26-1267310,2021-06-26,2021,1,T20I,Serbia,Romania,18.0,3.0,0.0,2.0,17.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,,,1.0
cricket-t20i-2022-06-24-1317136,2022-06-24,2022,1,T20I,Serbia,Bulgaria,27.0,8.0,0.0,2.0,83.0,8.0,,,,,,,,,1.0
cricket-t20i-2022-06-25-1317137,2022-06-25,2022,1,T20I,Serbia,Bulgaria,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2022-06-25-1317138,2022-06-25,2022,1,T20I,Serbia,Bulgaria,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-06-26-1317139,2022-06-26,2022,1,T20I,Serbia,Bulgaria,21.0,3.0,0.0,1.0,40.0,4.0,16.0,0.0,0.0,16.0,1.0,1.0,,,1.0
cricket-t20i-2022-07-09-1323551,2022-07-09,2022,1,T20I,Bulgaria,Serbia,29.0,4.0,0.0,1.0,45.0,4.0,18.0,0.0,1.0,25.0,3.0,4.0,1.0,,1.0
cricket-t20i-2022-07-09-1323552,2022-07-09,2022,1,T20I,Bulgaria,Serbia,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,2.0,1.0
cricket-t20i-2022-07-13-1321263,2022-07-13,2022,1,T20I,Isle of Man,Serbia,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-07-15-1321266,2022-07-15,2022,1,T20I,Turkey,Serbia,15.0,1.0,0.0,1.0,16.0,1.0,,,,,,,,,1.0
cricket-t20i-2022-07-16-1321269,2022-07-16,2022,1,T20I,Romania,Serbia,8.0,2.0,0.0,1.0,9.0,0.0,,,,,,,,,1.0
cricket-t20i-2022-07-18-1321274,2022-07-18,2022,1,T20I,Cyprus,Serbia,5.0,1.0,1.0,7.0,7.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2022-07-19-1321277,2022-07-19,2022,1,T20I,Serbia,Croatia,4.0,0.0,0.0,7.0,3.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2023-06-23-1381453,2023-06-23,2023,1,T20I,Serbia,Turkey,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,1.0
cricket-t20i-2023-06-23-1381455,2023-06-23,2023,1,T20I,Bulgaria,Serbia,6.0,1.0,0.0,1.0,5.0,0.0,,,,,,,2.0,,1.0
cricket-t20i-2023-06-24-1381457,2023-06-24,2023,1,T20I,Croatia,Serbia,33.0,8.0,1.0,1.0,45.0,0.0,,,,,,,1.0,,1.0
cricket-t20i-2023-10-05-1400053,2023-10-05,2023,1,T20I,Serbia,Gibraltar,8.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,,1.0
cricket-t20i-2023-10-05-1400054,2023-10-05,2023,1,T20I,Serbia,Gibraltar,21.0,2.0,0.0,5.0,18.0,0.0,12.0,0.0,0.0,21.0,0.0,1.0,,,1.0
cricket-t20i-2024-09-30-1452624,2024-09-30,2024,1,T20I,Serbia,Gibraltar,7.0,0.0,0.0,4.0,2.0,0.0,17.0,0.0,0.0,14.0,1.0,1.0,,,1.0
cricket-t20i-2024-09-30-1452625,2024-09-30,2024,1,T20I,Serbia,Gibraltar,5.0,0.0,0.0,5.0,8.0,1.0,,,,,,,,,1.0
cricket-t20i-2025-06-07-1486790,2025-06-07,2025,1,T20I,Slovenia,Serbia,2.0,0.0,1.0,3.0,2.0,0.0,24.0,0.0,0.0,36.0,0.0,2.0,,1.0,1.0
cricket-t20i-2025-06-08-1486791,2025-06-08,2025,1,T20I,Serbia,Slovenia,45.0,5.0,1.0,3.0,84.0,7.0,24.0,0.0,0.0,36.0,0.0,2.0,,1.0,1.0
cricket-t20i-2025-10-31-1506440,2025-10-31,2025,1,T20I,Cyprus,Serbia,28.0,1.0,0.0,4.0,26.0,2.0,12.0,0.0,0.0,20.0,0.0,4.0,,,1.0
cricket-t20i-2025-10-31-1506441,2025-10-31,2025,1,T20I,Cyprus,Serbia,27.0,3.0,0.0,2.0,40.0,2.0,18.0,0.0,0.0,24.0,0.0,0.0,1.0,,1.0
cricket-t20i-2025-11-01-1506442,2025-11-01,2025,1,T20I,Serbia,Bulgaria,5.0,0.0,0.0,2.0,6.0,1.0,12.0,0.0,0.0,24.0,1.0,0.0,,,1.0
cricket-t20i-2025-11-01-1506443,2025-11-01,2025,1,T20I,Bulgaria,Serbia,12.0,3.0,0.0,2.0,12.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0,2.0,,1.0
