game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,solo_tackles,targets
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,,,,,0.0,25.0,3.0,,5.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,,,,,0.0,54.0,3.0,,3.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,,,,,0.0,75.0,3.0,,4.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,4.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,,,,,1.0,22.0,2.0,,3.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,,,,,,,0.0,36.0,3.0,,3.0
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,,,,,,,,6.0,1.0,,
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,,,,,,,,10.0,2.0,,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,,,,,17.0,2.0,,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,,,,,6.0,1.0,,
