game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-odi-2015-10-09-919613,2015-10-09,2015,1,ODI,Zimbabwe,Ireland,18.0,0.0,0.0,9.0,10.0,0.0,60.0,0.0,0.0,45.0,2.0,0.0,2.0,,1.0
cricket-odi-2015-10-11-919615,2015-10-11,2015,1,ODI,Zimbabwe,Ireland,,,,,,,54.0,1.0,1.0,50.0,0.0,0.0,,1.0,1.0
cricket-odi-2015-10-13-919617,2015-10-13,2015,1,ODI,Zimbabwe,Ireland,6.0,0.0,0.0,9.0,0.0,0.0,48.0,1.0,0.0,31.0,2.0,0.0,,,1.0
cricket-odi-2015-11-11-931394,2015-11-11,2015,1,ODI,Bangladesh,Zimbabwe,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2016-01-15-958415,2016-01-15,2016,1,T20I,Bangladesh,Zimbabwe,,,,,,,24.0,0.0,0.0,25.0,1.0,0.0,,1.0,1.0
cricket-t20i-2016-01-17-958417,2016-01-17,2016,1,T20I,Bangladesh,Zimbabwe,8.0,0.0,1.0,9.0,6.0,0.0,24.0,0.0,0.0,32.0,1.0,0.0,,,1.0
cricket-t20i-2016-01-22-958421,2016-01-22,2016,1,T20I,Bangladesh,Zimbabwe,,,,,,,,,,,,,1.0,,1.0
cricket-t20i-2016-03-08-951305,2016-03-08,2016,1,T20I,Hong Kong,Zimbabwe,5.0,0.0,0.0,9.0,2.0,0.0,24.0,0.0,0.0,30.0,1.0,0.0,,,1.0
cricket-t20i-2016-03-10-951313,2016-03-10,2016,1,T20I,Scotland,Zimbabwe,6.0,0.0,1.0,8.0,4.0,0.0,24.0,0.0,0.0,28.0,4.0,0.0,,,1.0
cricket-t20i-2016-06-18-1007655,2016-06-18,2016,1,T20I,Zimbabwe,India,,,,,,,,,,,,,1.0,,1.0
cricket-odi-2018-07-13-1142920,2018-07-13,2018,1,ODI,Pakistan,Zimbabwe,8.0,0.0,0.0,9.0,0.0,0.0,60.0,0.0,0.0,56.0,1.0,1.0,,,1.0
cricket-odi-2018-07-16-1142921,2018-07-16,2018,1,ODI,Zimbabwe,Pakistan,13.0,1.0,0.0,9.0,12.0,0.0,60.0,0.0,0.0,61.0,0.0,0.0,,,1.0
cricket-odi-2018-07-18-1142922,2018-07-18,2018,1,ODI,Zimbabwe,Pakistan,32.0,1.0,1.0,9.0,10.0,0.0,,,,,,,,,1.0
cricket-odi-2018-07-20-1142923,2018-07-20,2018,1,ODI,Pakistan,Zimbabwe,7.0,0.0,0.0,8.0,2.0,0.0,60.0,0.0,0.0,78.0,1.0,6.0,,,1.0
cricket-odi-2018-07-22-1142924,2018-07-22,2018,1,ODI,Pakistan,Zimbabwe,,,,,,,60.0,0.0,0.0,66.0,1.0,1.0,,,1.0
cricket-odi-2018-09-30-1144146,2018-09-30,2018,1,ODI,Zimbabwe,South Africa,22.0,3.0,0.0,8.0,15.0,0.0,30.0,1.0,0.0,26.0,2.0,0.0,,,1.0
cricket-odi-2018-10-26-1153637,2018-10-26,2018,1,ODI,Zimbabwe,Bangladesh,,,,,,,60.0,0.0,0.0,71.0,1.0,1.0,,,1.0
cricket-t20i-2018-07-04-1142916,2018-07-04,2018,1,T20I,Zimbabwe,Pakistan,,,,,,,24.0,0.0,0.0,30.0,1.0,0.0,,,1.0
