game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-bbl-2020-12-11-1226872,2020-12-11,2020,1,BBL,Brisbane Heat,Melbourne Stars,3.0,0.0,0.0,10.0,2.0,0.0,24.0,1.0,0.0,28.0,1.0,0.0,,,1.0
cricket-bbl-2020-12-23-1226881,2020-12-23,2020,1,BBL,Adelaide Strikers,Brisbane Heat,1.0,0.0,0.0,9.0,0.0,0.0,24.0,0.0,0.0,24.0,3.0,4.0,,,1.0
cricket-bbl-2020-12-27-1226868,2020-12-27,2020,1,BBL,Hobart Hurricanes,Brisbane Heat,,,,,,,18.0,0.0,0.0,31.0,0.0,1.0,,,1.0
cricket-bbl-2020-12-30-1226875,2020-12-30,2020,1,BBL,Hobart Hurricanes,Brisbane Heat,,,,,,,18.0,0.0,0.0,22.0,2.0,0.0,1.0,,1.0
cricket-bbl-2021-01-02-1226832,2021-01-02,2021,1,BBL,Sydney Sixers,Brisbane Heat,,,,,,,18.0,0.0,1.0,30.0,1.0,0.0,,,1.0
cricket-bbl-2021-01-04-1226851,2021-01-04,2021,1,BBL,Sydney Thunder,Brisbane Heat,,,,,,,18.0,0.0,0.0,29.0,1.0,1.0,,,1.0
cricket-bbl-2021-01-07-1226835,2021-01-07,2021,1,BBL,Brisbane Heat,Melbourne Stars,,,,,,,12.0,0.0,0.0,19.0,0.0,0.0,2.0,,1.0
cricket-bbl-2021-01-10-1226855,2021-01-10,2021,1,BBL,Brisbane Heat,Sydney Sixers,3.0,0.0,1.0,10.0,3.0,0.0,18.0,0.0,0.0,28.0,0.0,0.0,,,1.0
cricket-bbl-2021-01-14-1226843,2021-01-14,2021,1,BBL,Melbourne Renegades,Brisbane Heat,,,,,,,6.0,0.0,0.0,2.0,1.0,0.0,,,1.0
cricket-bbl-2021-01-19-1226838,2021-01-19,2021,1,BBL,Perth Scorchers,Brisbane Heat,,,,,,,6.0,0.0,0.0,5.0,0.0,0.0,1.0,,1.0
cricket-bbl-2021-01-21-1226859,2021-01-21,2021,1,BBL,Adelaide Strikers,Brisbane Heat,2.0,0.0,1.0,11.0,1.0,0.0,24.0,0.0,0.0,30.0,1.0,1.0,,,1.0
cricket-bbl-2021-01-23-1226848,2021-01-23,2021,1,BBL,Brisbane Heat,Melbourne Renegades,,,,,,,24.0,0.0,0.0,35.0,2.0,0.0,,,1.0
