game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
cricket-odi-2005-05-15-209339,2005-05-15,2005,1,ODI,West Indies,South Africa,6.0,0.0,0.0,8.0,6.0,0.0,,,,,,,,1.0
cricket-odi-2005-05-18-209582,2005-05-18,2005,1,ODI,Pakistan,West Indies,16.0,0.0,0.0,2.0,3.0,0.0,,,,,,,1.0,1.0
cricket-odi-2005-07-31-214742,2005-07-31,2005,1,ODI,West Indies,India,48.0,5.0,0.0,1.0,26.0,0.0,,,,,,,1.0,1.0
cricket-odi-2005-08-02-214852,2005-08-02,2005,1,ODI,Sri Lanka,West Indies,24.0,0.0,0.0,1.0,6.0,0.0,,,,,,,,1.0
cricket-odi-2005-08-06-215134,2005-08-06,2005,1,ODI,West Indies,Sri Lanka,22.0,1.0,0.0,1.0,8.0,0.0,,,,,,,2.0,1.0
cricket-odi-2008-06-24-319143,2008-06-24,2008,1,ODI,West Indies,Australia,11.0,1.0,0.0,1.0,6.0,0.0,,,,,,,,1.0
cricket-odi-2008-06-27-319144,2008-06-27,2008,1,ODI,West Indies,Australia,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,1.0
cricket-odi-2008-06-29-319145,2008-06-29,2008,1,ODI,West Indies,Australia,65.0,4.0,0.0,2.0,35.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0
cricket-odi-2008-07-04-319146,2008-07-04,2008,1,ODI,West Indies,Australia,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0,1.0
cricket-odi-2008-07-06-319147,2008-07-06,2008,1,ODI,West Indies,Australia,30.0,3.0,0.0,2.0,17.0,0.0,,,,,,,,1.0
cricket-odi-2008-11-12-374059,2008-11-12,2008,1,ODI,Pakistan,West Indies,22.0,4.0,0.0,5.0,26.0,0.0,,,,,,,,1.0
cricket-odi-2008-11-14-374060,2008-11-14,2008,1,ODI,Pakistan,West Indies,6.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,1.0
cricket-odi-2008-12-31-366709,2008-12-31,2008,1,ODI,New Zealand,West Indies,59.0,2.0,1.0,4.0,29.0,0.0,,,,,,,,1.0
cricket-t20i-2008-06-20-319142,2008-06-20,2008,1,T20I,West Indies,Australia,15.0,3.0,0.0,1.0,36.0,3.0,,,,,,,1.0,1.0
cricket-t20i-2008-12-26-366707,2008-12-26,2008,1,T20I,New Zealand,West Indies,24.0,3.0,0.0,3.0,28.0,1.0,,,,,,,2.0,1.0
cricket-t20i-2008-12-28-366708,2008-12-28,2008,1,T20I,New Zealand,West Indies,14.0,1.0,0.0,3.0,10.0,0.0,,,,,,,1.0,1.0
cricket-tests-2008-05-30-319140,2008-05-30,2008,1,TESTS,West Indies,Australia,101.0,9.0,0.0,2.0,58.0,0.0,,,,,,,2.0,1.0
cricket-tests-2008-06-12-319141,2008-06-12,2008,1,TESTS,West Indies,Australia,207.0,18.0,0.0,4.0,124.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,,1.0
cricket-odi-2009-01-07-366711,2009-01-07,2009,1,ODI,New Zealand,West Indies,3.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
cricket-t20i-2009-06-06-355993,2009-06-06,2009,1,T20I,Australia,West Indies,12.0,0.0,0.0,3.0,8.0,0.0,,,,,,,,1.0
cricket-t20i-2009-06-10-356002,2009-06-10,2009,1,T20I,Sri Lanka,West Indies,11.0,1.0,0.0,3.0,14.0,0.0,,,,,,,,1.0
cricket-t20i-2009-06-19-356016,2009-06-19,2009,1,T20I,Sri Lanka,West Indies,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
cricket-tests-2009-02-04-352661,2009-02-04,2009,1,TESTS,West Indies,England,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,1.0,1.0
cricket-odi-2019-04-27-1174844,2019-04-27,2019,1,ODI,Papua New Guinea,United States of America,9.0,2.0,0.0,1.0,11.0,0.0,,,,,,,,1.0
cricket-odi-2019-09-13-1199225,2019-09-13,2019,1,ODI,United States of America,Papua New Guinea,19.0,0.0,0.0,1.0,6.0,0.0,,,,,,,1.0,1.0
cricket-odi-2019-09-17-1199226,2019-09-17,2019,1,ODI,United States of America,Namibia,37.0,0.0,0.0,1.0,13.0,1.0,,,,,,,1.0,1.0
cricket-odi-2019-09-19-1199227,2019-09-19,2019,1,ODI,United States of America,Papua New Guinea,22.0,2.0,0.0,2.0,17.0,0.0,,,,,,,,1.0
cricket-odi-2019-12-08-1206059,2019-12-08,2019,1,ODI,United Arab Emirates,United States of America,59.0,2.0,0.0,2.0,34.0,1.0,,,,,,,,1.0
cricket-odi-2019-12-09-1206060,2019-12-09,2019,1,ODI,Scotland,United States of America,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0
cricket-odi-2019-12-12-1206062,2019-12-12,2019,1,ODI,United Arab Emirates,United States of America,44.0,4.0,0.0,1.0,31.0,0.0,,,,,,,,1.0
cricket-odi-2019-12-14-1206063,2019-12-14,2019,1,ODI,Scotland,United States of America,67.0,5.0,0.0,1.0,50.0,1.0,,,,,,,,1.0
cricket-t20i-2019-03-15-1177484,2019-03-15,2019,1,T20I,United Arab Emirates,United States of America,7.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,1.0
cricket-t20i-2019-03-16-1177485,2019-03-16,2019,1,T20I,United Arab Emirates,United States of America,26.0,1.0,0.0,4.0,31.0,1.0,,,,,,,,1.0
cricket-t20i-2019-08-18-1197396,2019-08-18,2019,1,T20I,Bermuda,United States of America,10.0,0.0,0.0,1.0,4.0,0.0,,,,,,,,1.0
cricket-t20i-2019-08-19-1197399,2019-08-19,2019,1,T20I,Cayman Islands,United States of America,27.0,0.0,0.0,1.0,12.0,0.0,,,,,,,,1.0
cricket-t20i-2019-08-21-1197401,2019-08-21,2019,1,T20I,Canada,United States of America,24.0,1.0,0.0,1.0,22.0,1.0,,,,,,,,1.0
cricket-t20i-2019-08-22-1197403,2019-08-22,2019,1,T20I,United States of America,Bermuda,12.0,3.0,0.0,1.0,17.0,0.0,,,,,,,,1.0
cricket-t20i-2019-08-24-1197404,2019-08-24,2019,1,T20I,Cayman Islands,United States of America,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.0,1.0
cricket-odi-2020-02-06-1215123,2020-02-06,2020,1,ODI,Oman,United States of America,27.0,2.0,0.0,1.0,13.0,0.0,,,,,,,,1.0
cricket-odi-2020-02-08-1215124,2020-02-08,2020,1,ODI,Nepal,United States of America,4.0,0.0,0.0,1.0,2.0,0.0,,,,,,,1.0,1.0
cricket-odi-2020-02-11-1215126,2020-02-11,2020,1,ODI,Oman,United States of America,39.0,2.0,0.0,1.0,23.0,1.0,,,,,,,,1.0
cricket-odi-2020-02-12-1215127,2020-02-12,2020,1,ODI,Nepal,United States of America,22.0,2.0,0.0,1.0,16.0,0.0,,,,,,,,1.0
cricket-t20i-2021-11-08-1286673,2021-11-08,2021,1,T20I,United States of America,Bermuda,16.0,0.0,0.0,3.0,19.0,1.0,,,,,,,,1.0
cricket-t20i-2021-11-10-1286674,2021-11-10,2021,1,T20I,Canada,United States of America,27.0,6.0,0.0,3.0,36.0,1.0,,,,,,,1.0,1.0
cricket-t20i-2021-11-11-1286681,2021-11-11,2021,1,T20I,Argentina,United States of America,18.0,3.0,0.0,3.0,19.0,0.0,,,,,,,,1.0
cricket-t20i-2021-12-22-1291187,2021-12-22,2021,1,T20I,United States of America,Ireland,11.0,0.0,0.0,2.0,4.0,0.0,,,,,,,,1.0
