player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
aaron-coble,Aaron Coble,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-atkins,Alex Atkins,P,2.0,0.0,0.0,2.0,2.0,263.0,331.0
alex-tatum,Alex Tatum,P,4.0,1.0,0.0,0.0,1.0,78.0,191.0
atkin-arnstein,Atkin Arnstein,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aylen-learned,Aylen Learned,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-levinsky,Ben Levinsky,P,0.0,0.0,0.0,0.0,0.0,-10.0,14.0
bryce-lozinski,Bryce Lozinski,P,1.0,0.0,0.0,0.0,3.0,98.0,178.0
caden-sigerud,Caden Sigerud,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casey-shugarman,Casey Shugarman,P,0.0,0.0,0.0,1.0,0.0,39.0,0.0
casey-wu,Casey Wu,P,3.0,0.0,0.0,3.0,0.0,203.0,85.0
chance-cochran,Chance Cochran,P,1.0,0.0,0.0,1.0,0.0,41.0,48.0
charles-cannon,Charles Cannon,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chris-ward,Chris Ward,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cody-johnston,Cody Johnston,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
connor-olson,Connor Olson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conor-tabor,Conor Tabor,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daniel-pryke,Daniel Pryke,P,0.0,1.0,0.0,0.0,0.0,3.0,26.0
danny-landesman,Danny Landesman,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-yu,David Yu,P,0.0,1.0,0.0,0.0,0.0,20.0,28.0
dennis-bechis,Dennis Bechis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elijah-salmon,Elijah Salmon,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erik-hotaling,Erik Hotaling,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethan-li,Ethan Li,P,0.0,1.0,0.0,1.0,1.0,61.0,12.0
felix-pronove,Felix Pronove,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garrett-hable,Garrett Hable,P,0.0,0.0,0.0,1.0,0.0,48.0,1.0
jan-szmanda,Jan Szmanda,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jay-froude,Jay Froude,P,0.0,0.0,0.0,0.0,1.0,18.0,69.0
jeremy-knopf,Jeremy Knopf,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jimmy-mcguinness,Jimmy McGuinness,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonathan-nethercutt,Jonathan Nethercutt,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan-queckboerner,Jordan Queckboerner,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kai-marshall,Kai Marshall,P,0.0,0.0,0.0,0.0,1.0,35.0,6.0
krishna-gomatam,Krishna Gomatam,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kyle-rubin,Kyle Rubin,P,4.0,0.0,0.0,2.0,3.0,303.0,147.0
logan-pruess,Logan Pruess,P,0.0,1.0,0.0,1.0,1.0,41.0,6.0
marshall-crawford,Marshall Crawford,P,1.0,0.0,0.0,0.0,0.0,46.0,24.0
mathieu-agee,Mathieu Agee,P,0.0,1.0,0.0,1.0,0.0,22.0,17.0
matt-jackson,Matt Jackson,P,0.0,1.0,0.0,1.0,1.0,0.0,55.0
matt-miller,Matt Miller,P,4.0,1.0,0.0,3.0,4.0,257.0,635.0
matt-nelson,Matt Nelson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max-gibson,Max Gibson,P,3.0,0.0,0.0,1.0,1.0,98.0,186.0
maxwell-hume,Maxwell Hume,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
michael-tran,Michael Tran,P,1.0,0.0,0.0,0.0,0.0,24.0,91.0
nanda-min-fink,Nanda Min-Fink,P,4.0,0.0,0.0,2.0,1.0,301.0,393.0
nathan-buchholz,Nathan Buchholz,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nicholas-snuszka,Nicholas Snuszka,P,0.0,1.0,0.0,1.0,0.0,81.0,6.0
noah-coolman,Noah Coolman,P,5.0,2.0,0.0,4.0,1.0,286.0,230.0
oliver-artus,Oliver Artus,P,0.0,0.0,0.0,5.0,1.0,264.0,16.0
peter-lenz,Peter Lenz,P,2.0,0.0,0.0,2.0,1.0,148.0,314.0
quinn-finer,Quinn Finer,P,4.0,0.0,1.0,1.0,0.0,134.0,264.0
reggie-sung,Reggie Sung,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rodrigo-gould-rodriguez,Rodrigo Gould Rodriguez,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saeed-semrin,Saeed Semrin,P,1.0,0.0,0.0,2.0,1.0,158.0,104.0
sam-goldstein,Sam Goldstein,P,1.0,1.0,0.0,1.0,0.0,25.0,44.0
sandford-brown,Sandford Brown,P,0.0,0.0,0.0,0.0,0.0,36.0,-1.0
seth-faris,Seth Faris,P,0.0,0.0,0.0,0.0,0.0,36.0,10.0
stefan-samu,Stefan Samu,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sten-larson,Sten Larson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taylor-gilman,Taylor Gilman,P,0.0,0.0,0.0,0.0,0.0,-22.0,49.0
thomas-brewster,Thomas Brewster,P,0.0,0.0,0.0,6.0,0.0,237.0,18.0
thomas-konogeris,Thomas Konogeris,P,0.0,0.0,0.0,1.0,0.0,33.0,4.0
travis-dunn,Travis Dunn,P,3.0,0.0,0.0,1.0,2.0,431.0,260.0
tyler-nguyen,Tyler Nguyen,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tynan-sander,Tynan Sander,P,0.0,1.0,0.0,1.0,0.0,89.0,69.0
zeke-thoreson,Zeke Thoreson,P,3.0,0.0,1.0,2.0,1.0,194.0,231.0
