player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
adam-mcnichols,Adam McNichols,P,3.0,0.0,1.0,0.0,1.0,152.0,250.0
alex-forsberg,Alex Forsberg,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-yanelli,Alex Yanelli,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antonio-rueda,Antonio Rueda,P,1.0,0.0,0.0,1.0,0.0,90.0,70.0
archer-gordon,Archer Gordon,P,0.0,0.0,0.0,4.0,0.0,178.0,33.0
austin-kelly,Austin Kelly,P,1.0,0.0,0.0,0.0,4.0,53.0,134.0
beckett-sessums,Beckett Sessums,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-ashton,Ben Ashton,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-hoffman,Ben Hoffman,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ben-thoennes,Ben Thoennes,P,2.0,1.0,0.0,2.0,4.0,209.0,230.0
braden-eberhard,Braden Eberhard,P,0.0,0.0,0.0,3.0,1.0,167.0,97.0
caleb-campbell,Caleb Campbell,P,1.0,0.0,0.0,0.0,1.0,31.0,88.0
callahan-bosworth,Callahan Bosworth,P,1.0,0.0,1.0,0.0,0.0,79.0,103.0
chad-yorgason,Chad Yorgason,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cole-eustis,Cole Eustis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cole-stenseth,Cole Stenseth,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conner-stillwell,Conner Stillwell,P,3.0,0.0,0.0,1.0,2.0,318.0,120.0
curtis-watkins,Curtis Watkins,P,0.0,1.0,0.0,1.0,0.0,36.0,11.0
dan-baumgartner,Dan Baumgartner,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dante-miller,Dante Miller,RB/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-barram,David Barram,P,4.0,0.0,0.0,1.0,4.0,71.0,454.0
derik-knighton,Derik Knighton,P,2.0,1.0,0.0,1.0,0.0,47.0,78.0
elijah-huber,Elijah Huber,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emmett-warner,Emmett Warner,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ethan-wimmer,Ethan Wimmer,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eugene-lheureux,Eugene L\'Heureux,P,1.0,0.0,0.0,0.0,0.0,13.0,41.0
evan-miller,Evan Miller,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grant-cole,Grant Cole,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grayson-rettburg,Grayson Rettburg,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jace-duennebeil,Jace Duennebeil,P,3.0,0.0,1.0,2.0,1.0,209.0,188.0
jackson-heglie,Jackson Heglie,P,0.0,0.0,0.0,2.0,1.0,92.0,5.0
jackson-henry,Jackson Henry,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacob-artz,Jacob Artz,P,0.0,0.0,0.0,0.0,0.0,0.0,5.0
jacob-miller,Jacob Miller,P,2.0,0.0,0.0,3.0,0.0,73.0,246.0
jeremiah-branson,Jeremiah Branson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonathan-lee,Jonathan Lee,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonny-hoffman,Jonny Hoffman,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jordan-kerr,Jordan Kerr,P,5.0,0.0,0.0,3.0,2.0,357.0,276.0
joshua-moore,Joshua Moore,WR/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
julian-reeves,Julian Reeves,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaden-froebe,Kaden Froebe,P,0.0,1.0,0.0,3.0,0.0,87.0,10.0
kimball-pew,Kimball Pew,P,1.0,1.0,0.0,1.0,0.0,65.0,8.0
kyle-weinberg,Kyle Weinberg,P,2.0,2.0,0.0,1.0,0.0,32.0,84.0
lucas-coniaris,Lucas Coniaris,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luke-yorgason,Luke Yorgason,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-russnogle,Matt Russnogle,P,1.0,1.0,0.0,4.0,0.0,267.0,92.0
matthew-fredrickson,Matthew Fredrickson,P,0.0,1.0,0.0,1.0,0.0,15.0,0.0
mckay-yorgason,McKay Yorgason,P,4.0,0.0,0.0,1.0,2.0,168.0,324.0
nate-knutson,Nate Knutson,P,2.0,0.0,0.0,6.0,0.0,344.0,29.0
nathan-de-morgan,Nathan De Morgan,P,1.0,1.0,0.0,1.0,2.0,111.0,126.0
nathan-huff,Nathan Huff,P,1.0,0.0,0.0,0.0,0.0,31.0,60.0
nathan-williams,Nathan Williams,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nicholas-dahms,Nicholas Dahms,P,0.0,1.0,0.0,0.0,0.0,0.0,0.0
orlando-impas,Orlando Impas,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oscar-brown,Oscar Brown,P,1.0,1.0,0.0,1.0,2.0,43.0,40.0
owen-heh,Owen Heh,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
porter-oyler,Porter Oyler,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quinn-buermeyer,Quinn Buermeyer,P,0.0,0.0,0.0,1.0,1.0,62.0,201.0
rainor-alin,Rainor Alin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reed-browning,Reed Browning,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ryan-wolfe,Ryan Wolfe,P,0.0,0.0,0.0,0.0,2.0,15.0,49.0
sam-pew,Sam Pew,P,0.0,0.0,0.0,1.0,1.0,83.0,0.0
sebastian-williamson,Sebastian Williamson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tony-mounga,Tony Mounga,P,1.0,1.0,0.0,1.0,0.0,1.0,60.0
trevor-kelley,Trevor Kelley,P,2.0,0.0,0.0,0.0,1.0,27.0,66.0
will-dillender-kinast,Will Dillender-Kinast,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will-selfridge,Will Selfridge,P,4.0,0.0,0.0,3.0,0.0,242.0,269.0
zac-scheuerman,Zac Scheuerman,P,0.0,0.0,0.0,0.0,1.0,98.0,21.0
