player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
ambles-markeith,"Ambles, Markeith",WR,,,0.0,,,,0.0,76.0,7.0,,,0.0,1.0
awe-micah,"Awe, Micah",LB,,,0.0,,,,,,,,,0.0,8.0
begelton-reggie,"BEGELTON, Reggie",WR,,,,,,,0.0,49.0,6.0,,,,
carey-kadeem,"CAREY, Ka\'Deem",RB,,,,,,,0.0,40.0,3.0,0.0,55.0,,
cgy-dst,CGY DST,DST,,,,,,31.0,,,,,,1.0,
cgy-k,CGY K,K,119.0,,,,,,,,,,,,
cgy-qb,CGY QB,QB,,1.0,,,315.0,,,,,1.0,5.0,,
cowan-brad,"Cowan, Brad",LB,,,0.0,,,,,,,,,0.0,0.0
darious-williams,Darious Williams,CB/LB/DB,,,0.0,,,,,,,,,0.0,0.0
dozier-branden,"Dozier, Branden",DB,,,0.0,,,,,,,,,0.0,5.0
graham-elliot,"Graham, Elliot",DL,,,0.0,,,,,,,,,0.0,2.0
griffin-michael,"Griffin, Michael",DB,,,0.0,,,,,,,,,0.0,2.0
hakunavanhu-luther,"HAKUNAVANHU, Luther",WR,,,,,,,0.0,21.0,3.0,,,,
howsare-julian,"Howsare, Julian",DE/DL,,,0.0,,,,,,,,,0.0,2.0
judge-cameron,"Judge, Cameron",LB,,,0.0,,,,,,,,,0.0,6.0
lewis-tommylee,"Lewis, Tommylee",WR,,,,,,,0.0,4.0,1.0,,,,
mills-dedrick,"MILLS, Dedrick",RB,,,0.0,,,,0.0,21.0,2.0,1.0,46.0,0.0,0.0
maier-jake,"Maier, Jake",QB,,1.0,,0.0,315.0,,,,,1.0,5.0,,
michel-marken,"Michel, Marken",WR,,,,,,,0.0,95.0,4.0,,,,
moxey-jonathan,"Moxey, Jonathan",DB,,,0.0,,,,,,,,,0.0,1.0
paredes-rene,"PAREDES, Rene",K,119.0,,,,,,,,,,,,
roberson-tre,"Roberson, Tre",DB,,,0.0,,,,,,,,,0.0,5.0
stevens-tommy,"STEVENS, Tommy",WR/QB,,,,,,,,,,1.0,1.0,,
schakel-josiah,"Schakel, Josiah",LB,,,0.0,,,,,,,,,0.0,0.0
statz-nick,"Statz, Nick",DB,,,0.0,,,,,,,,,0.0,3.0
wall-titus,"Wall, Titus",DB,,,0.0,,,,,,,,,0.0,1.0
williams-kobe,"Williams, Kobe",DB,,,0.0,,,,,,,,,1.0,4.0
