player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
arbuckle-nick,"ARBUCKLE, Nick",QB,,,0.0,,1.0,382.0,,,,,0.0,11.0
brissett-dejon,"BRISSETT, Dejon",WR,,,,,,,,0.0,96.0,7.0,,
brown-kevin,"BROWN, Kevin",RB/P,,,,,,,,,,,0.0,13.0
coxie-damonte,"COXIE, Damonte",WR,,,,,,,,0.0,60.0,5.0,,
daniels-davaris,"DANIELS, DaVaris",WR,,,,,,,,0.0,22.0,3.0,,
grant-janarion,"GRANT, Janarion",WR,,,,,,,,,,,0.0,2.0
herslow-jake,"HERSLOW, Jake",WR,,,,,,,,1.0,38.0,3.0,,
lirim-hajrullahu,Lirim Hajrullahu,K,1.0,108.0,,,,,,,,,,
mcmahon-deonta,"MCMAHON, Deonta",RB,,,,,,,,0.0,21.0,4.0,0.0,12.0
mital-kevin,"Mital, Kevin",WR,,,,,,,,0.0,49.0,4.0,0.0,26.0
tor-dst,TOR DST,DST,,,,1.0,,,28.0,,,,,
tor-k,TOR K,K,1.0,108.0,,,,,,,,,,
tor-qb,TOR QB,QB,,,0.0,,1.0,382.0,,,,,0.0,11.0
ungerer-iii-david,"UNGERER III, David",WR,,,,,,,,,96.0,4.0,,
