player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
castillo-sergio,"CASTILLO, Sergio",K,1.0,69.0,,,,,,,,,
collaros-zach,"COLLAROS, Zach",QB,,,2.0,1.0,288.0,,,,,0.0,18.0
corcoran-joey,"CORCORAN, Joey",WR,,,,,,,0.0,4.0,1.0,,
clercius-kevens,"Clercius, Kevens",WR,,,,,,,0.0,78.0,10.0,,
demski-nic,"DEMSKI, Nic",WR,,,,,,,0.0,74.0,9.0,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,0.0,8.0,1.0,,
oliveira-brady,"OLIVEIRA, Brady",RB,,,,,,,0.0,51.0,6.0,0.0,61.0
peterson-matthew,"Peterson, Matthew",RB,,,,,,,0.0,5.0,1.0,0.0,8.0
schoen-dalton,"SCHOEN, Dalton",WR,,,,,,,0.0,47.0,4.0,,
sterns-jerreth,"STERNS, Jerreth",WR,,,,,,,1.0,49.0,7.0,,
streveler-chris,"STREVELER, Chris",QB,,,0.0,0.0,28.0,,,,,0.0,5.0
wpg-dst,WPG DST,DST,,,,,,37.0,,,,,
wpg-k,WPG K,K,1.0,69.0,,,,,,,,,
wpg-qb,WPG QB,QB,,,2.0,1.0,316.0,,,,,0.0,23.0
