player_id,player_name,positions,1pt_conversion,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,0.0,7.0,1.0,0.0,24.0,
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,0.0,0.0,,,
brahmas-dst,Brahmas DST,DST,,,1.0,,0.0,,,,33.0,,,,,,0.0
brahmas-k,Brahmas K,K,,59.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,0.0,,,0.0,103.0,,,,,0.0,20.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,0.0,12.0,2.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,0.0,5.0,1.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,0.0,9.0,1.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,0.0,0.0,0.0,0.0,10.0,
jashaun-corbin,Jashaun Corbin,RB,1.0,,,,,1.0,,,,0.0,6.0,1.0,1.0,85.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,0.0,44.0,5.0,,,
kellen-mond,Kellen Mond,QB,,,,0.0,,,0.0,103.0,,,,,0.0,20.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,0.0,20.0,3.0,,,
tristan-vizcaino,Tristan Vizcaino,K,,59.0,,,,,,,,,,,,,
