game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-ATX-HTX,2023-04-29,2023,1,,ATX,HTX,,2.0,4.0,2.0,,3.0,,8.0,2.0,,41.0,31.0
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,1.0,,3.0,3.0,,1.0,1.0,12.0,4.0,1.0,23.0,25.0
2023-05-12-ATX-ATL,2023-05-12,2023,3,,ATX,ATL,1.0,1.0,2.0,2.0,,,1.0,6.0,2.0,,18.0,45.0
2023-05-20-SD-ATX,2023-05-20,2023,4,,SD,ATX,,1.0,5.0,4.0,,1.0,,1.0,5.0,1.0,55.0,18.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,,,6.0,4.0,,1.0,,8.0,5.0,1.0,42.0,30.0
2023-07-07-HTX-ATX,2023-07-07,2023,11,,HTX,ATX,,,0.0,,,0.0,,0.0,,,0.0,
2024-05-03-HTX-ATX,2024-05-03,2024,2,,HTX,ATX,1.0,1.0,,,0.0,2.0,,,,0.0,103.0,56.0
2024-05-11-ATX-DAL,2024-05-11,2024,3,,ATX,DAL,0.0,0.0,,,0.0,1.0,,,,1.0,79.0,43.0
2024-05-25-CHI-ATX,2024-05-25,2024,5,,CHI,ATX,0.0,0.0,,,0.0,1.0,,,,1.0,33.0,2.0
2024-05-31-CAR-ATX,2024-05-31,2024,6,,CAR,ATX,0.0,0.0,,,0.0,0.0,,,,0.0,65.0,10.0
2024-06-01-ATX-HTX,2024-06-01,2024,6,,ATX,HTX,0.0,0.0,,,0.0,4.0,,,,0.0,69.0,66.0
2024-06-07-ATX-ATL,2024-06-07,2024,7,,ATX,ATL,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-08-ATX-CAR,2024-06-08,2024,7,,ATX,CAR,0.0,0.0,,,0.0,0.0,,,,0.0,7.0,-10.0
2024-06-15-DAL-ATX,2024-06-15,2024,8,,DAL,ATX,2.0,0.0,,,1.0,0.0,,,,1.0,104.0,93.0
2024-06-21-ATX-DAL,2024-06-21,2024,9,,ATX,DAL,2.0,0.0,,,0.0,3.0,,,,0.0,209.0,119.0
2024-06-29-ATL-ATX,2024-06-29,2024,10,,ATL,ATX,0.0,0.0,,,0.0,0.0,,,,0.0,15.0,-5.0
2024-07-06-HTX-ATX,2024-07-06,2024,11,,HTX,ATX,1.0,1.0,,,0.0,2.0,,,,0.0,116.0,4.0
2024-07-20-ATX-DAL,2024-07-20,2024,13,,ATX,DAL,2.0,2.0,,,0.0,1.0,,,,1.0,57.0,96.0
