game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_FLYERS,,,2,AUDL,,,1.0,0.0,,,0.0,2.0,,,,0.0,-94.0,528.0
SYNTHETIC_AUDL_W3_FLYERS,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2022-06-17-CAR-ATL,2022-06-17,2022,4,,CAR,ATL,2.0,1.0,,,0.0,0.0,,,,0.0,-189.0,285.0
2022-06-25-CAR-TB,2022-06-25,2022,5,,CAR,TB,0.0,2.0,,,0.0,0.0,,,,0.0,4.0,29.0
2022-07-02-ATL-CAR,2022-07-02,2022,6,,ATL,CAR,3.0,0.0,,,0.0,1.0,,,,0.0,-59.0,383.0
2022-07-09-TB-CAR,2022-07-09,2022,7,,TB,CAR,3.0,0.0,,,1.0,0.0,,,,2.0,-7.0,164.0
2022-07-16-CAR-PIT,2022-07-16,2022,8,,CAR,PIT,1.0,0.0,,,0.0,0.0,,,,0.0,-4.0,379.0
2023-05-13-ATX-CAR,2023-05-13,2023,3,,ATX,CAR,,,28.0,28.0,,1.0,4.0,1.0,29.0,1.0,-26.0,166.0
2023-05-21-ATL-CAR,2023-05-21,2023,4,,ATL,CAR,2.0,,35.0,38.0,,2.0,1.0,1.0,38.0,,17.0,140.0
2023-06-02-CAR-DC,2023-06-02,2023,6,,CAR,DC,,1.0,30.0,45.0,,1.0,5.0,1.0,47.0,,-20.0,267.0
2023-06-03-CAR-PHI,2023-06-03,2023,6,,CAR,PHI,,,,,,,,,,2.0,,
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,1.0,,43.0,48.0,,,3.0,,48.0,1.0,58.0,233.0
2023-06-10-CAR-ATX,2023-06-10,2023,7,,CAR,ATX,,,,,,3.0,,,,,,
