game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_W1_CGY,,,1,CFL,,,0.0,101.0,7.0
SYNTHETIC_CFL_W3_CGY,,,3,CFL,,,0.0,11.0,2.0
SYNTHETIC_CFL_W9_CGY,,,9,CFL,,,0.0,9.0,1.0
SYNTHETIC_CFL_W10_CGY,,,10,CFL,,,0.0,6.0,1.0
SYNTHETIC_CFL_W15_CGY,,,15,CFL,,,0.0,6.0,1.0
SYNTHETIC_CFL_W16_CGY,,,16,CFL,,,0.0,25.0,5.0
SYNTHETIC_CFL_W17_CGY,,,17,CFL,,,0.0,41.0,3.0
SYNTHETIC_CFL_W19_CGY,,,19,CFL,,,0.0,7.0,1.0
SYNTHETIC_CFL_W20_CGY,,,20,CFL,,,1.0,14.0,1.0
SYNTHETIC_CFL_2023_W3_HAM,,2023,3,CFL,,,0.0,7.0,1.0
SYNTHETIC_CFL_2023_W5_HAM,,2023,5,CFL,,,0.0,59.0,7.0
SYNTHETIC_CFL_2023_W6_HAM,,2023,6,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W7_HAM,,2023,7,CFL,,,0.0,11.0,2.0
SYNTHETIC_CFL_2023_W13_HAM,,2023,13,CFL,,,0.0,13.0,2.0
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W1_TOR,,2024,1,CFL,,,,24.0,2.0
SYNTHETIC_CFL_2024_W6_TOR,,2024,6,CFL,,,0.0,36.0,2.0
SYNTHETIC_CFL_2024_W7_TOR,,2024,7,CFL,,,0.0,41.0,5.0
SYNTHETIC_CFL_2024_W8_TOR,,2024,8,CFL,,,0.0,9.0,1.0
SYNTHETIC_CFL_2024_W9_TOR,,2024,9,CFL,,,1.0,34.0,2.0
SYNTHETIC_CFL_2024_W10_TOR,,2024,10,CFL,,,0.0,8.0,1.0
SYNTHETIC_CFL_2024_W12_TOR,,2024,12,CFL,,,0.0,16.0,2.0
SYNTHETIC_CFL_2024_W14_TOR,,2024,14,CFL,,,0.0,42.0,5.0
SYNTHETIC_CFL_2024_W15_TOR,,2024,15,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W16_TOR,,2024,16,CFL,,,0.0,0.0,0.0
